dataset,program,size,gamma,c,performance
Chloroplast,class,1276,2.7375509868871307e-05,1000.0,0.8495918822890711
Chloroplast,class,1276,1e-07,1000.0,0.8472509994816592
Chloroplast,class,1276,1e-06,1000.0,0.8698955757770547
Chloroplast,class,1276,1e-05,1000.0,0.8541809713785862
Chloroplast,class,1276,0.0001,1000.0,0.8485616391942006
Chloroplast,class,1276,0.001,1000.0,0.8738092483353331
Chloroplast,class,1276,0.01,1000.0,0.6010816263803431
Chloroplast,class,1276,0.1,1000.0,0.25236220376740354
Climate_Pilot,class,664,3.057636447026449e-05,0.001,0.680439847239923
Climate_Pilot,class,664,1e-07,0.001,0.6804930733070361
Climate_Pilot,class,664,1e-06,0.001,0.6804930733070361
Climate_Pilot,class,664,1e-05,0.001,0.6804930733070361
Climate_Pilot,class,664,0.0001,0.001,0.7234120904479631
Climate_Pilot,class,664,0.001,0.001,0.7476904917362365
Climate_Pilot,class,664,0.01,0.001,0.37302219533194847
Climate_Pilot,class,664,0.1,0.001,0.13091275610439318
Climate_Pilot,class,664,3.057636447026449e-05,0.01,0.7673682838478417
Climate_Pilot,class,664,1e-07,0.01,0.6804930733070361
Climate_Pilot,class,664,1e-06,0.01,0.6804930733070361
Climate_Pilot,class,664,1e-05,0.01,0.7301055988754338
Climate_Pilot,class,664,0.0001,0.01,0.7821898391481351
Climate_Pilot,class,664,0.001,0.01,0.7516859501947849
Climate_Pilot,class,664,0.01,0.01,0.37535679397274807
Climate_Pilot,class,664,0.1,0.01,0.13682359079058984
Climate_Pilot,class,664,3.057636447026449e-05,0.1,0.7854559183981431
Climate_Pilot,class,664,1e-07,0.1,0.6804930733070361
Climate_Pilot,class,664,1e-06,0.1,0.7333442041398462
Climate_Pilot,class,664,1e-05,0.1,0.7846919305805794
Climate_Pilot,class,664,0.0001,0.1,0.7834711593526542
Climate_Pilot,class,664,0.001,0.1,0.7583280103272697
Climate_Pilot,class,664,0.01,0.1,0.38525786607189233
Climate_Pilot,class,664,0.1,0.1,0.13682359079058984
Climate_Pilot,class,664,3.057636447026449e-05,1.0,0.786786675925012
Climate_Pilot,class,664,1e-07,1.0,0.7325726586515432
Climate_Pilot,class,664,1e-06,1.0,0.7828488454749621
Climate_Pilot,class,664,1e-05,1.0,0.7876273741899243
Climate_Pilot,class,664,0.0001,1.0,0.7855561722686124
Climate_Pilot,class,664,0.001,1.0,0.7849531872836966
Climate_Pilot,class,664,0.01,1.0,0.40130174101579874
Climate_Pilot,class,664,0.1,1.0,0.13346033687229097
Climate_Pilot,class,664,3.057636447026449e-05,10.0,0.79123834571089
